# FSAE course centreline, digitized from endurance_2026.png
# source_md5=877c11e1865936b6f3b34a25eeab6dd8
# grid_px=12.000 grid_ft=25.0 m_per_px=0.63500  (AUTO-CALIBRATED from the sheet)
# length_m=964.0  closed=True  R_min_m=4.50
# slalom_spacings_verified=False
s_m,x_m,y_m,kappa_1perm
485.0000,169.4487,45.1796,0.005416
486.0000,168.5291,44.7867,0.011893
487.0000,167.6049,44.4048,0.018832
488.0000,166.6736,44.0406,0.026451
489.0000,165.7330,43.7012,0.034963
490.0000,164.7811,43.3948,0.044561
491.0000,163.8166,43.1313,0.055380
492.0000,162.8390,42.9219,0.067372
493.0000,161.8495,42.7785,0.080134
494.0000,160.8519,42.7149,0.092731
495.0000,159.8527,42.7441,0.103585
496.0000,158.8619,42.8756,0.109522
497.0000,157.8907,43.1118,0.091384
498.0000,156.9448,43.4354,0.073936
499.0000,156.0255,43.8284,0.058457
500.0000,155.1306,44.2744,0.045184
501.0000,154.2568,44.7605,0.033896
502.0000,153.4001,45.2763,0.024208
503.0000,152.5561,45.8127,0.015697
504.0000,151.7208,46.3624,0.007994
505.0000,150.8898,46.9187,0.000865
506.0000,150.0593,47.4757,0.006255
507.0000,149.2253,48.0275,0.013361
508.0000,148.3840,48.5680,0.020798
509.0000,147.5316,49.0909,0.028818
510.0000,146.6645,49.5890,0.037658
511.0000,145.7793,50.0540,0.047523
512.0000,144.8731,50.4764,0.058522
513.0000,143.9435,50.8447,0.069987
514.0000,142.9911,51.1487,0.070227
515.0000,142.0197,51.3854,0.069885
516.0000,141.0343,51.5541,0.069018
517.0000,140.0394,51.6536,0.067706
518.0000,139.0402,51.6861,0.066060
519.0000,138.0409,51.6529,0.064184
520.0000,137.0459,51.5550,0.062181
521.0000,136.0588,51.3958,0.060142
522.0000,135.0830,51.1778,0.058140
523.0000,134.1217,50.9029,0.056236
524.0000,133.1772,50.5747,0.054471
525.0000,132.2519,50.1957,0.052874
526.0000,131.3481,49.7681,0.051467
527.0000,130.4675,49.2945,0.050258
528.0000,129.6118,48.7773,0.049253
529.0000,128.7825,48.2187,0.048452
530.0000,127.9812,47.6206,0.047852
531.0000,127.2095,46.9848,0.047450
532.0000,126.4689,46.3129,0.047240
533.0000,125.7609,45.6068,0.047214
534.0000,125.0870,44.8682,0.047363
535.0000,124.4488,44.0985,0.047678
536.0000,123.8479,43.2992,0.048146
537.0000,123.2863,42.4720,0.048756
538.0000,122.7656,41.6184,0.049490
539.0000,122.2877,40.7400,0.050328
540.0000,121.8548,39.8387,0.051246
541.0000,121.4687,38.9164,0.052216
542.0000,121.1312,37.9752,0.053203
543.0000,120.8442,37.0174,0.054170
544.0000,120.6095,36.0455,0.054273
545.0000,120.4275,35.0623,0.051112
546.0000,120.2959,34.0711,0.048107
547.0000,120.2122,33.0747,0.045308
548.0000,120.1737,32.0755,0.042745
549.0000,120.1779,31.0756,0.040433
550.0000,120.2226,30.0767,0.038376
551.0000,120.3056,29.0802,0.036575
552.0000,120.4249,28.0874,0.035024
553.0000,120.5790,27.0994,0.033720
554.0000,120.7663,26.1172,0.032661
555.0000,120.9857,25.1416,0.031847
556.0000,121.2361,24.1735,0.031283
557.0000,121.5166,23.2136,0.030979
558.0000,121.8267,22.2630,0.030958
559.0000,122.1664,21.3225,0.037618
560.0000,122.5421,20.3958,0.056608
561.0000,122.9700,19.4923,0.083684
562.0000,123.4727,18.6284,0.124977
563.0000,124.0802,17.8353,0.188555
564.0000,124.8263,17.1729,0.222222
565.0000,125.7197,16.7327,0.222222
566.0000,126.7056,16.5920,0.222222
567.0000,127.6968,16.7107,0.153717
568.0000,128.6581,16.9840,0.093903
569.0000,129.5890,17.3485,0.060554
570.0000,130.4957,17.7700,0.039927
571.0000,131.3849,18.2274,0.025518
572.0000,132.2620,18.7077,0.014163
573.0000,133.1322,19.2004,0.003764
574.0000,134.0006,19.6963,0.007532
575.0000,134.8729,20.1852,0.024008
576.0000,135.7569,20.6526,0.046706
577.0000,136.6620,21.0775,0.078402
578.0000,137.5975,21.4293,0.122652
579.0000,138.5689,21.6627,0.178655
580.0000,139.5653,21.7205,0.222222
581.0000,140.5493,21.5556,0.222222
582.0000,141.4689,21.1679,0.178588
583.0000,142.3069,20.6239,0.104657
584.0000,143.0823,19.9929,0.061887
585.0000,143.8168,19.3145,0.034580
586.0000,144.5266,18.6101,0.014766
587.0000,145.2260,17.8954,0.002590
588.0000,145.9270,17.1823,0.019435
589.0000,146.6419,16.4830,0.040084
590.0000,147.3846,15.8137,0.068947
591.0000,148.1721,15.1979,0.114373
592.0000,149.0257,14.6788,0.179614
593.0000,149.9555,14.3154,0.203137
594.0000,150.9392,14.1457,0.199967
595.0000,151.9372,14.1721,0.171309
596.0000,152.9169,14.3674,0.133269
597.0000,153.8621,14.6922,0.098537
598.0000,154.7710,15.1085,0.070816
599.0000,155.6477,15.5892,0.049501
600.0000,156.4996,16.1128,0.032773
601.0000,157.3338,16.6642,0.019054
602.0000,158.1573,17.2315,0.007090
603.0000,158.9767,17.8047,0.004120
604.0000,159.7984,18.3746,0.015446
605.0000,160.6289,18.9316,0.027761
606.0000,161.4746,19.4652,0.042010
607.0000,162.3420,19.9626,0.059286
608.0000,163.2370,20.4082,0.068196
609.0000,164.1603,20.7917,0.072407
610.0000,165.1088,21.1079,0.075864
611.0000,166.0785,21.3511,0.078243
612.0000,167.0641,21.5180,0.079305
613.0000,168.0600,21.6062,0.078924
614.0000,169.0597,21.6163,0.077159
615.0000,170.0571,21.5486,0.074182
616.0000,171.0470,21.4080,0.070307
617.0000,172.0243,21.1975,0.065845
